;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
626;SAJMP;Editor de texto;Diminiur tamanho da fonte;Testar funcionalidade e avaliar o resultado;;;;;;;
627;SAJMP;Editor de texto;Alterar fonte;Testar funcionalidade e avaliar o resultado;;;;;;;
628;SAJMP;Editor de texto;Mostrar e ocultar caracteres especiais;Testar funcionalidade e avaliar o resultado;;;;;;;
629;SAJMP;Editor de texto;Exibir layout normal;Testar funcionalidade e avaliar o resultado;;;;;;;
630;SAJMP;Editor de texto;Exibir layout;Testar funcionalidade e avaliar o resultado;;;;;;;
631;SAJMP;Editor de texto;Exibir layout com cabeçalho e rodapé;Testar funcionalidade e avaliar o resultado;;;;;;;
632;SAJMP;Editor de texto;Exibir layout com duas páginas;Testar funcionalidade e avaliar o resultado;;;;;;;
633;SAJMP;Editor de texto;Desfazer um alteração;Testar funcionalidade e avaliar o resultado;;;;;;;
634;SAJMP;Editor de texto;Refazer uma alteração;Testar funcionalidade e avaliar o resultado;;;;;;;
635;SAJMP;Editor de texto;Copiar;Testar funcionalidade e avaliar o resultado;;;;;;;
636;SAJMP;Editor de texto;Recortar;Testar funcionalidade e avaliar o resultado;;;;;;;
637;SAJMP;Editor de texto;Colar;Testar funcionalidade e avaliar o resultado;;;;;;;
638;SAJMP;Editor de texto;Colar especial;Testar funcionalidade e avaliar o resultado;;;;;;;
639;SAJMP;Editor de texto;Selecionar tudo;Testar funcionalidade e avaliar o resultado;;;;;;;
640;SAJMP;Editor de texto;Editar valor do campo;Testar funcionalidade e avaliar o resultado;;;;;;;
641;SAJMP;Editor de texto;Quebrar vínculo do campo;Testar funcionalidade e avaliar o resultado;;;;;;;
642;SAJMP;Editor de texto;Excluir campo;Testar funcionalidade e avaliar o resultado;;;;;;;
643;SAJMP;Editor de texto;Excluir campo com resultado de atualização vazio;Testar funcionalidade e avaliar o resultado;;;;;;;
644;SAJMP;Editor de texto;Localizar;Testar funcionalidade e avaliar o resultado;;;;;;;
645;SAJMP;Editor de texto;Substituir;Testar funcionalidade e avaliar o resultado;;;;;;;
646;SAJMP;Editor de texto;Formatar fonte;Testar funcionalidade e avaliar o resultado;;;;;;;
647;SAJMP;Editor de texto;Formatar parágrafo;Testar funcionalidade e avaliar o resultado;;;;;;;
648;SAJMP;Editor de texto;Formatar marcadores e numerações;Testar funcionalidade e avaliar o resultado;;;;;;;
649;SAJMP;Editor de texto;Formatar bordas e sombreamento;Testar funcionalidade e avaliar o resultado;;;;;;;
650;SAJMP;Editor de texto;Formatar tabulação;Testar funcionalidade e avaliar o resultado;;;;;;;
651;SAJMP;Editor de texto;Formatar maiúsculas e minúsculas;Testar funcionalidade e avaliar o resultado;;;;;;;
652;SAJMP;Editor de texto;Formatar estilos;Testar funcionalidade e avaliar o resultado;;;;;;;
653;SAJMP;Editor de texto;Testar a edição do rodapé e cabeçalho;Testar opções disponíveis;;;;;;;
654;SAJMP;Editor de texto;Copiar e colar;Testar execução de cópia e colagem do Word pro Editor de texto;;;;;;;
655;SAJMP;Editor de texto;Exigir nome do membro para movimentos que obrigam;Verificar se um movimento que obriga informar o nome do membro está exijindo o preenchimento;;;;;;;
656;SAJMP;Editor de texto;Exigir nome do membro para movimentos que não obrigam;Verificar se um movimento que não obriga informar o nome do membro está exijindo o preenchimento;;;;;;;
657;SAJMP;Editor de texto;Tratamento das partes sigilosas nas mesclagem dos campos na emissão de documentos;Verificar se o tratamento de dados das partes sigilosas estão sendo devidamente tratados por meio dos campos automáticos;;;;;;;
658;SAJMP;Editor de texto;Inserir quebra;Testar funcionalidade e avaliar o resultado;;;;;;;
659;SAJMP;Editor de texto;Inserir número de página;Testar funcionalidade e avaliar o resultado;;;;;;;
660;SAJMP;Editor de texto;Inserir data e hora;Testar funcionalidade e avaliar o resultado;;;;;;;
661;SAJMP;Editor de texto;Inserir símbolo;Testar funcionalidade e avaliar o resultado;;;;;;;
662;SAJMP;Editor de texto;Inserir notas de rodapé;Testar funcionalidade e avaliar o resultado;;;;;;;
663;SAJMP;Editor de texto;Inserir hyperlink;Testar funcionalidade e avaliar o resultado;;;;;;;
664;SAJMP;Editor de texto;Inserir caixa de texto;Testar funcionalidade e avaliar o resultado;;;;;;;
665;SAJMP;Editor de texto;Inserir figura;Testar funcionalidade e avaliar o resultado;;;;;;;
666;SAJMP;Editor de texto;Inserir arquivo;Testar funcionalidade e avaliar o resultado;;;;;;;
667;SAJMP;Editor de texto;Inserir brasão;Testar funcionalidade e avaliar o resultado;;;;;;;
668;SAJMP;Editor de texto;Inserir assinatura;Testar funcionalidade e avaliar o resultado;;;;;;;
669;SAJMP;Editor de texto;Novo documento;Testar funcionalidade e avaliar o resultado;;;;;;;
670;SAJMP;Editor de texto;Novo documento externo;Testar funcionalidade e avaliar o resultado;;;;;;;
671;SAJMP;Editor de texto;Abrir gerenciador de arquivos;Testar funcionalidade e avaliar o resultado;;;;;;;
672;SAJMP;Editor de texto;Abrir;Testar funcionalidade e avaliar o resultado;;;;;;;
673;SAJMP;Editor de texto;Renomear documento;Testar funcionalidade e avaliar o resultado;;;;;;;
674;SAJMP;Editor de texto;Salvar todos;Testar funcionalidade e avaliar o resultado;;;;;;;
675;SAJMP;Editor de texto;Enviar por e-mail o documento;Testar funcionalidade e avaliar o resultado;;;;;;;
676;SAJMP;Editor de texto;Enviar por e-mail o documento como anexo;Testar funcionalidade e avaliar o resultado;;;;;;;
677;SAJMP;Editor de texto;Enviar por e-mail o PDF do documento como anexo;Testar funcionalidade e avaliar o resultado;;;;;;;
678;SAJMP;Editor de texto;Importar documento;Testar funcionalidade e avaliar o resultado;;;;;;;
679;SAJMP;Editor de texto;Exportar documento;Testar funcionalidade e avaliar o resultado;;;;;;;
680;SAJMP;Editor de texto;Configurar impressora;Testar funcionalidade e avaliar o resultado;;;;;;;
681;SAJMP;Editor de texto;Visualizar impressão;Testar funcionalidade e avaliar o resultado;;;;;;;
682;SAJMP;Editor de texto;Imprimir;Testar funcionalidade e avaliar o resultado;;;;;;;
683;SAJMP;Editor de texto;Imprimir todos;Testar funcionalidade e avaliar o resultado;;;;;;;
684;SAJMP;Editor de texto;Abrir propriedades do documento através do ícone;Testar funcionalidade e avaliar o resultado;;;;;;;
685;SAJMP;Editor de texto;Abrir propriedades do documento através do menu;Testar funcionalidade e avaliar o resultado;;;;;;;
686;SAJMP;Editor de texto;Fechar o documento e salvar;Testar funcionalidade e avaliar o resultado;;;;;;;
687;SAJMP;Editor de texto;Fechar o documento e não salvar;Testar funcionalidade e avaliar o resultado;;;;;;;
688;SAJMP;Editor de texto;Cancelar a tela de confirmação ao fechar o documento sem salvar;Testar funcionalidade e avaliar o resultado;;;;;;;
689;SAJMP;Editor de texto;Maximizar editor de texto;Testar funcionalidade e avaliar o resultado;;;;;;;
690;SAJMP;Editor de texto;Minimizar editor de texto;Testar funcionalidade e avaliar o resultado;;;;;;;
691;SAJMP;Editor de texto;Configurar a pasta digital do TJ para abrir automaticamente;Testar funcionalidade e avaliar o resultado;;;;;;;
692;SAJMP;Editor de texto;Fechar o documento;Testar funcionalidade e avaliar o resultado;;;;;;;
693;SAJMP;Editor de texto;Fechar o editor;Testar funcionalidade e avaliar o resultado;;;;;;;
694;SAJMP;Menu editor;Emissão de documentos;Abrir tela;;;;;;;
695;SAJMP;Menu editor;Cadastro de modelo de instituição;Abrir tela;;;;;;;
696;SAJMP;Menu editor;Cadastro de modelo de documento;Abrir tela;;;;;;;
697;SAJMP;Menu editor;Gerenciador de arquivos;Abrir tela;;;;;;;
698;SAJMP;Menu editor;Cadastro de autotextos;Abrir tela;;;;;;;
699;SAJMP;Menu editor;Editor de documentos;Abrir tela;;;;;;;
700;SAJMP;Menu editor;Documentos recentes;Abrir tela;;;;;;;
701;SAJMP;Menu editor;Configurações do usuário;Abrir tela;;;;;;;
702;SAJMP;Menu arquivo;Incluir novo modelo de instituição;Testar funcionalidade e avaliar o resultado;;;;;;;
703;SAJMP;Menu arquivo;Incluir novo modelo de documento;Testar funcionalidade e avaliar o resultado;;;;;;;
704;SAJMP;Menu arquivo;Incluir novo documento;Testar funcionalidade e avaliar o resultado;;;;;;;
705;SAJMP;Menu arquivo;Excluir;Testar funcionalidade e avaliar o resultado;;;;;;;
706;SAJMP;Menu arquivo;Renomear;Testar funcionalidade e avaliar o resultado;;;;;;;
707;SAJMP;Menu arquivo;Visualizar as propriedades do documento;Testar funcionalidade e avaliar o resultado;;;;;;;
708;SAJMP;Menu arquivo;Testar funcionalidade de versão;Testar funcionalidade e avaliar o resultado;;;;;;;
709;SAJMP;Menu arquivo;Abrir o cadastro de modelo;Testar funcionalidade e avaliar o resultado;;;;;;;
710;SAJMP;Menu arquivo;Compartilhar / Copiar Modelo;Testar funcionalidade e avaliar o resultado;;;;;;;
711;SAJMP;Menu arquivo;Imprimir;Testar funcionalidade e avaliar o resultado;;;;;;;
712;SAJMP;Menu arquivo;Imprimir resultado;Testar funcionalidade e avaliar o resultado;;;;;;;
713;SAJMP;Menu arquivo;Fechar;Testar funcionalidade e avaliar o resultado;;;;;;;
714;SAJMP;Menu editar;Selecionar tudo;Testar funcionalidade e avaliar o resultado;;;;;;;
715;SAJMP;Menu editar;Inverter seleção;Testar funcionalidade e avaliar o resultado;;;;;;;
716;SAJMP;Menu exibir;Marcar e desmarcar a opção pesquisar;Testar funcionalidade e avaliar o resultado;;;;;;;
717;SAJMP;Menu exibir;Marcar e desmarcar a opção pastas;Testar funcionalidade e avaliar o resultado;;;;;;;
718;SAJMP;Menu exibir;Marcar e desmarcar a opção assinaturas digitais;Testar funcionalidade e avaliar o resultado;;;;;;;
719;SAJMP;Menu exibir;Marcar e desmarcar a opção legendas;Testar funcionalidade e avaliar o resultado;;;;;;;
720;SAJMP;Menu exibir;Marcar e desmarcar a opção visualizar arquivo;Testar funcionalidade e avaliar o resultado;;;;;;;
721;SAJMP;Menu exibir;Marcar e desmarcar a opção visualizar motivo documento sem efeito;Testar funcionalidade e avaliar o resultado;;;;;;;
722;SAJMP;Menu exibir;Marcar e desmarcar a opção observações;Testar funcionalidade e avaliar o resultado;;;;;;;
723;SAJMP;Menu exibir;Configurar colunas;Testar funcionalidade e avaliar o resultado;;;;;;;
724;SAJMP;Menu exibir;Restaurar colunas padrão;Testar funcionalidade e avaliar o resultado;;;;;;;
725;SAJMP;Menu exibir;Testar a funcionalidade agrupar;Testar funcionalidade e avaliar o resultado;;;;;;;
726;SAJMP;Menu exibir;Atualizar;Testar funcionalidade e avaliar o resultado;;;;;;;
727;SAJMP;Menu ferramentas;Visualizar todos os modelos;Testar funcionalidade e avaliar o resultado;;;;;;;
728;SAJMP;Menu ferramentas;Visualizar documentos sem efeito;Testar funcionalidade e avaliar o resultado;;;;;;;
729;SAJMP;Menu ferramentas;Abrir a opção enviar E-mail;Testar funcionalidade e avaliar o resultado;;;;;;;
730;SAJMP;Menu ferramentas;Finalizar / Liberar nos Autos Digitais;Testar funcionalidade e avaliar o resultado;;;;;;;
731;SAJMP;Menu ferramentas;Assinar documento;Testar funcionalidade e avaliar o resultado;;;;;;;
732;SAJMP;Menu ferramentas;Expandir tudo;Testar funcionalidade e avaliar o resultado;;;;;;;
733;SAJMP;Menu ferramentas;Contrair tudo;Testar funcionalidade e avaliar o resultado;;;;;;;
734;SAJMP;Menu andamento;Movimentação unitária;Abrir janela e testar;;;;;;;
735;SAJMP;Menu andamento;Pendência e prazo;Abrir janela e testar;;;;;;;
736;SAJMP;Menu andamento;Cancelamento;Abrir janela e testar;;;;;;;
737;SAJMP;Menu andamento;Restauração;Abrir janela e testar;;;;;;;
738;SAJMP;Menu andamento;Finalização;Abrir janela e testar;;;;;;;
739;SAJMP;Menu andamento;Arquivamento;Abrir janela e testar;;;;;;;
740;SAJMP;Menu andamento;Desarquivamento;Abrir janela e testar;;;;;;;
741;SAJMP;Menu andamento;Histórico de petições;Abrir janela e testar;;;;;;;
742;SAJMP;Menu andamento;Fluxo de trabalho;Abrir janela e testar;;;;;;;
743;SAJMP;Menu andamento;Cadastro de pessoa de acesso externo;Abrir janela e testar;;;;;;;
744;SAJMP;Menu andamento;Senha de cadastros;Abrir janela e testar;;;;;;;
745;SAJMP;Menu andamento;Histórico de senhas de cadastros;Abrir janela e testar;;;;;;;
746;SAJMP;Menu andamento;Consulta de usuários indicados;Abrir janela e testar;;;;;;;
747;SAJMP;Menu andamento;Agenda de compromissos;Abrir janela e testar;;;;;;;
748;SAJMP;Menu andamento;Excluir distribuição;Abrir janela e testar;;;;;;;
749;SAJMP;Menu carga;Remessa;Abrir janela e testar;;;;;;;
750;SAJMP;Menu carga;Carga e importação;Abrir janela e testar;;;;;;;
751;SAJMP;Menu carga;Pasta digital do TJ;Abrir janela e testar;;;;;;;
752;SAJMP;Menu carga;Reemisão de comprovante;Abrir janela e testar;;;;;;;
753;SAJMP;Menu apoio;Habilitar bloqueio da estação de trabalho;Abrir janela e testar;;;;;;;
754;SAJMP;Menu apoio;Utilizar segundo monitor para pasta digital;Testar funcionalidade no monitor principal e secundário;;;;;;;
755;SAJMP;Menu apoio;Tamanho da fonte;Testar tamanho da fonte em todas as telas em que se aplica;;;;;;;
756;SAJMP;Emissão de documentos;Emitir documento com vínculo;Emitir documento com vinculação;;;;;;;
757;SAJMP;Emissão de documentos;Emitir documento sem vínculo;Emitir documento sem vinculação;;;;;;;
758;SAJMP;Emissão de documentos;Verificar numeração de documentos;Testar numeração de documento com e sem vínculo;;;;;;;
759;SAJMP;Emissão de documentos;Alterar numeração da categoria do documento;Trocar a numeração e verificar se irá gerar o número na sequência;;;;;;;
760;SAJMP;Emissão de documentos;Testar campos automáticos;Testar os campos e suas quebras;;;;;;;
761;SAJMP;Emissão de documentos;Assinar documento com e sem vínculo;Assinar documento com e sem vínculo;;;;;;;
762;SAJMP;Emissão de documentos;Testar todos menus e demais opções;Testar todos os menus e suas demais opções;;;;;;;
763;SAJMP;Emissão de documentos;Emitir documento em cadastro sigiloso;Emitir documento em cadastro sigiloso;;;;;;;
764;SAJMP;Emissão de documentos;Emitir documento em cadastro sigiloso por indicação;Emitir documento em cadastro sigiloso por indicação de acesso;;;;;;;
765;SAJMP;Emissão de documentos;Indicar documento não finalizado para consulta pela corregedoria;Utilizar esse modo de finalização e testar;;;;;;;
766;SAJMP;Emissão de documentos;Indicar documento já finalizado para consulta pela corregedoria;Testar novamente a finalização de um documento e agora marcar a opção de indicação que antes não havia sido marcada;;;;;;;
767;SAJMP;Consulta de documentos;Cadastro de promotores em estágio probatório;Cadastrar um membro em estágio probatório;;;;;;;
768;SAJMP;Consulta de documentos;Consulta avançada de atividades;Utilizar a funcionalidade e todas as suas possíveis opções;;;;;;;
769;SAJMP;Consulta de documentos;Consulta de correições deste órgão;Utilizar a funcionalidade e todas as suas possíveis opções;;;;;;;
770;SAJMP;Consulta de documentos;Indicação de análise pela corregedoria;Verificar se os documentos indicados estão sendo apresentados;;;;;;;
771;SAJMP;Consulta de documentos;Inspeções ou vistorias;Utilizar a funcionalidade e todas as suas possíveis opções;;;;;;;
772;SAJMP;Consulta de documentos;Pedidos de explicações;Utilizar a funcionalidade e todas as suas possíveis opções;;;;;;;
773;SAJMP;Consulta de documentos;Consulta de outras lotações;Consultar o fluxo de outras lotações através do fluxo da Corregedoria;;;;;;;
774;SAJMP;Cadastro de modelo;Cadastrar modelo de instituição;Cadastrar modelo de instituição e testá-lo;;;;;;;
775;SAJMP;Cadastro de modelo;Cadastrar modelo de grupo;Cadastrar modelo de grupo e testá-lo;;;;;;;
776;SAJMP;Cadastro de modelo;Cadastrar modelo de usuário;Cadastrar modelo de usuário e testá-lo;;;;;;;
777;SAJMP;Cadastro de modelo;Cadastrar modelo de grupo sem vínculo;Cadastrar modelo de usuário e testá-lo;;;;;;;
778;SAJMP;Cadastro de modelo;Cadastrar modelo de usuário sem vínculo;Cadastrar modelo de usuário e testá-lo;;;;;;;
779;SAJMP;Gerenciador de arquivos;Testar gerenciador de arquivos e suas funções;Testar todas as opções de consulta, menus e pastas;;;;;;;
780;SAJMP;Gerenciador de arquivos;Testar peticionamento em lote;Testar o peticionamento em lote;;;;;;;
781;SAJMP;Gerenciador de arquivos;Testar opções adicionais de pesquisa;Testar opções adicionais de pesquisa;;;;;;;
782;SAJMP;Gerenciador de arquivos;Testar pesquisa textual por documento chamado;Testar a pesquisa textual no campo mencionado;;;;;;;
783;SAJMP;Gerenciador de arquivos;Testar pesquisa textual para documentos que contenham o texto;Testar a pesquisa textual no campo mencionado;;;;;;;
784;SAJMP;Gerenciador de arquivos;Testar funções no contexto do botão direito do mouse;Testar opções disponíveis;;;;;;;
785;SAJMP;Gerenciador de arquivos;Pesquisar um cadastro e utilizar os atalhos de pasta e pesquisa;Após pesquisar um cadastro, utilizar os atalhos de acesso à aba pasta e pesquisa;;;;;;;
786;SAJMP;Gerenciador de arquivos;Categoria;Testar preenchimento da informação na coluna;;;;;;;
787;SAJMP;Gerenciador de arquivos;Código do modelo;Testar preenchimento da informação na coluna;;;;;;;
788;SAJMP;Gerenciador de arquivos;Data de criação;Testar preenchimento da informação na coluna;;;;;;;
789;SAJMP;Gerenciador de arquivos;Data de exclusão;Testar preenchimento da informação na coluna;;;;;;;
790;SAJMP;Gerenciador de arquivos;Data de finalização;Testar preenchimento da informação na coluna;;;;;;;
791;SAJMP;Gerenciador de arquivos;Endereço da cópia local;Testar preenchimento da informação na coluna;;;;;;;
792;SAJMP;Gerenciador de arquivos;Grupo;Testar preenchimento da informação na coluna;;;;;;;
793;SAJMP;Gerenciador de arquivos;Nº Judiciário;Testar preenchimento da informação na coluna;;;;;;;
794;SAJMP;Gerenciador de arquivos;Nº MP;Testar preenchimento da informação na coluna;;;;;;;
795;SAJMP;Gerenciador de arquivos;Nome;Testar preenchimento da informação na coluna;;;;;;;
796;SAJMP;Gerenciador de arquivos;Nr. documento;Testar preenchimento da informação na coluna;;;;;;;
797;SAJMP;Gerenciador de arquivos;Nr. ofício;Testar preenchimento da informação na coluna;;;;;;;
798;SAJMP;Gerenciador de arquivos;Pasta;Testar preenchimento da informação na coluna;;;;;;;
799;SAJMP;Gerenciador de arquivos;Pasta do documento;Testar preenchimento da informação na coluna;;;;;;;
800;SAJMP;Gerenciador de arquivos;Sigla categoria;Testar preenchimento da informação na coluna;;;;;;;
801;SAJMP;Gerenciador de arquivos;Somente leitura;Testar preenchimento da informação na coluna;;;;;;;
802;SAJMP;Gerenciador de arquivos;Tipo de processo;Testar preenchimento da informação na coluna;;;;;;;
803;SAJMP;Gerenciador de arquivos;Última alteração;Testar preenchimento da informação na coluna;;;;;;;
804;SAJMP;Gerenciador de arquivos;Usuário da última alteração;Testar preenchimento da informação na coluna;;;;;;;
805;SAJMP;Gerenciador de arquivos;Usuário de criação;Testar preenchimento da informação na coluna;;;;;;;
806;SAJMP;Gerenciador de arquivos;Pesquisar por documeto;Efetuar pesquisa de Documento - Por data;LSE Ativo (Flag Usar LSE);;;;;;
807;SAJMP;Gerenciador de arquivos;Pesquisar por documeto;Efetuar pesquisa de Documento - Por data e Modo de finalização;;;;;;;
808;SAJMP;Gerenciador de arquivos;Pesquisar por documeto;Efetuar pesquisa de Documento - Por data e Participação do usuário;;;;;;;
809;SAJMP;Gerenciador de arquivos;Pesquisar por documeto;Efetuar pesquisa de Documento - Por data e Documentos chamados;;;;;;;
810;SAJMP;Gerenciador de arquivos;Pesquisar por documeto;Efetuar pesquisa de Documento - Por data e Documentos que contenham;;;;;;;
811;SAJMP;Gerenciador de arquivos;Pesquisar por documeto;Efetuar pesquisa de Documento - Pesquisa com filtros adicionais;;;;;;;
812;SAJMP;Gerenciador de arquivos;Pesquisar por modelo;Efetuar pesquisa de Modelo - Por data;;;;;;;
813;SAJMP;Gerenciador de arquivos;Pesquisar por modelo;Efetuar pesquisa de Modelo - Por data e Modelos chamados;;;;;;;
814;SAJMP;Gerenciador de arquivos;Pesquisar por modelo;Efetuar pesquisa de Modelo - Por data e Modelos que contenham;;;;;;;
815;SAJMP;Gerenciador de arquivos;Pesquisar por modelo;Efetuar pesquisa de Modelo - Pesquisa com filtros adicionais;;;;;;;
816;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar verificação e execução de tarefas dos botões;LSE Desativado (Flag Usar LSE);;;;;;
817;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar emissão de Novo Modelo através do botão Criar um Novo Modelo (Na barra superior);;;;;;;
818;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar emissão de Novo Modelo através do Menu Arquivo >> Novo - Selecionar um dos tipos de Modelo;;;;;;;
819;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar a Visualizção de Arquivo (Editor Simplificado Desabilitado);;;;;;;
820;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar o compartilhamento de Documentos/Modelos com Usuário;;;;;;;
821;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar o compartilhamento de Documentos/Modelos com Grupo;;;;;;;
822;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar a impressão de Arquivos (Botão Impressora na barra superior);;;;;;;
823;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar a impressão de Resultado através do Menu Arquivo >> Imprimir resultado;;;;;;;
824;SAJMP;Gerenciador de arquivos;Outras opções;Efetuar acesso a Pasta dos Documentos;;;;;;;
825;SAJMP;Gerenciador de arquivos;Outras opções;Verificar a propriedade de documentos (Menu de Contexto >> Propriedades);;;;;;;
826;SAJMP;Gerenciador de arquivos;Outras opções;Conferir ícones da Legenda;;;;;;;
827;SAJMP;Pasta digital do MP;Abrir pasta digital do MP;Abrir pasta digital do MP;;;;;;;
828;SAJMP;Pasta digital do MP;Juntar documento;Juntar PDF;;;;;;;
829;SAJMP;Pasta digital do MP;Juntar imagem;Juntar imagem (JPG);;;;;;;
830;SAJMP;Pasta digital do MP;Importar gravação;Importar gravação;;;;;;;
831;SAJMP;Pasta digital do MP;Testar propriedades do documento não liberado após importar;Clicar com o botão direito do mouse em documento aguardando liberação;;;;;;;
832;SAJMP;Pasta digital do MP;Testar propriedades do documento liberado após importar;Clicar com o botão direito do mouse em documento aguardando liberação;;;;;;;
833;SAJMP;Pasta digital do MP;Editor de documentos;Testar pasta digital do MP através do editor de documentos;;;;;;;
834;SAJMP;Pasta digital do MP;Gerenciador de arquivos;Testar pasta digital do MP através do gerenciador de arquivos;;;;;;;
835;SAJMP;Pasta digital do MP;Fluxo de trabalho;Testar pasta digital do MP através do fluxo de trabalho;;;;;;;
836;SAJMP;Pasta digital do MP;Abrir pasta digital do MP através da tela de cadastro;Testar pasta digital do MP com a pasta digital já aberta;;;;;;;
837;SAJMP;Pasta digital do MP;Liberação de documentos;Liberar documento aguardando liberação;;;;;;;
838;SAJMP;Pasta digital do MP;Exclusão de documentos;Excluir documento aguardando liberação;;;;;;;
839;SAJMP;Pasta digital do MP;Excluir página de PDF;Excluir página de PDF aguardando liberação;;;;;;;
840;SAJMP;Pasta digital do MP;Tornar documento sem efeito;Tornar documento sem efeito;;;;;;;
841;SAJMP;Pasta digital do MP;Assinar documento;Assinar documento liberado;;;;;;;
842;SAJMP;Pasta digital do MP;Propriedades do documento;Testar propriedade de um documento aguardando liberação;;;;;;;
843;SAJMP;Pasta digital do MP;Propriedades do documento;Testar propriedade de um documento liberado;;;;;;;
844;SAJMP;Pasta digital do MP;Girar no sentido horário;Girar no sentido horário;;;;;;;
845;SAJMP;Pasta digital do MP;Girar no sentido anti-horário;Girar no sentido anti-horário;;;;;;;
846;SAJMP;Pasta digital do MP;Recategorizar documento;Recategorizar documento aguardando liberação;;;;;;;
847;SAJMP;Pasta digital do MP;Recategorizar documento e analisar;Analisar se não foram registrados movimentos no cadastro após recategorização;;;;;;;
848;SAJMP;Pasta digital do MP;Salvar o documento antes de recategorizar;Verificar se o documento foi recategorizado de forma correta;;;;;;;
849;SAJMP;Pasta digital do MP;Não salvar o documento e clicar diretamente na página e recategorizar;Verificar se o documento foi recategorizado de forma correta;;;;;;;
850;SAJMP;Pasta digital do MP;Exportar;Exportar documento;;;;;;;
851;SAJMP;Pasta digital do MP;Exportar documento com combinação entre documentos;Exportar documento entre documentos;;;;;;;
852;SAJMP;Pasta digital do MP;Imprimir;Imprimir documentos/peças;;;;;;;
853;SAJMP;Pasta digital do MP;Imprimir documento assinado digitalmente;Imprimir documento assinado digitamente e verificar se o nome do usuário que assinou o documento é impresso;;;;;;;
854;SAJMP;Pasta digital do MP;Imprimir documento assinado digitalmente;Imprimir documento assinado digitamente e verificar se a data da assinatura é impressa;;;;;;;
855;SAJMP;Pasta digital do MP;Expandir;Expandir árvore de documentos;;;;;;;
856;SAJMP;Pasta digital do MP;Recolher;Recolher árvore de documentos;;;;;;;
857;SAJMP;Pasta digital do MP;Expandir tudo com atalho;Testar o comando CTRL + SHIFT + + na raíz do número do cadastro;;;;;;;
858;SAJMP;Pasta digital do MP;Expandir graudal com ataho;Testar o comando + na raíz do documento;;;;;;;
859;SAJMP;Pasta digital do MP;Recolher tudo com ataho;Testar o comando CTRL + SHIFT + - na raíz do número do cadastro;;;;;;;
860;SAJMP;Pasta digital do MP;Recolher gradual com ataho;Testar o comando - na raíz do documento;;;;;;;
861;SAJMP;Pasta digital do MP;Adicionar anotação;Adicionar anotação;;;;;;;
862;SAJMP;Pasta digital do MP;Exibir anotação;Exibir anotação;;;;;;;
863;SAJMP;Pasta digital do MP;Excluir anotação;Excluir anotação;;;;;;;
864;SAJMP;Pasta digital do MP;Pesquisar página;Pesquisar página;;;;;;;
865;SAJMP;Pasta digital do MP;Ferramenta de mão;Utilizar a ferramenta de mão;;;;;;;
866;SAJMP;Pasta digital do MP;Selecionar texto;Utilizar a ferramenta de seleção de texto;;;;;;;
867;SAJMP;Pasta digital do MP;Ocultar peças processuais;Ocultar peças processuais;;;;;;;
868;SAJMP;Pasta digital do MP;Mostrar peças processuais;Mostrar peças processuais;;;;;;;
869;SAJMP;Pasta digital do MP;Ajustar largura;Ajustar largura do documento;;;;;;;
870;SAJMP;Pasta digital do MP;Ajustar página;Ajustar página do documento;;;;;;;
871;SAJMP;Pasta digital do MP;Zoom;Testar zoom da pasta digital do MP;;;;;;;
872;SAJMP;Pasta digital do MP;Mostrar documento emitido no gerenciador;Mostrar documento emitido no gerenciador de arquivos;;;;;;;
873;SAJMP;Pasta digital do MP;Carregamento da pasta digital do MP;Testar carregamento da pasta digital do MP para evitar duplicidade;;;;;;;
874;SAJMP;Pasta digital do MP;Carregamento da pasta digital do MP;Testar velocidade do carregamento da pasta digital do MP;;;;;;;
875;SAJMP;Pasta digital do MP;Anotação por página;Testar anotação por página;;;;;;;
876;SAJMP;Pasta digital do MP;Anotação por data;Testar anotação por data;;;;;;;
877;SAJMP;Pasta digital do MP;Atualizar pasta digital do MP;Atualizar pasta digital do MP;;;;;;;
878;SAJMP;Pasta digital do MP;Reabrir pasta digital do MP;Abrir novamente a pasta digital do MP com pasta digital do MP já aberta;;;;;;;
879;SAJMP;Pasta digital do MP;Pasta digital do MP no primeiro monitor;Testar abrir pasta digital do MP no primeiro monitor;;;;;;;
880;SAJMP;Pasta digital do MP;Pasta digital do MP no segundo monitor;Testar abrir pasta digital do MP no segundo monitor;;;;;;;
881;SAJMP;Pasta digital do MP;Checar compressão do documento;Analisar a taxa de compressão do documento convertido em PDF;;;;;;;
882;SAJMP;Pasta digital do MP;Pasta digital do MP para cadastros ativos em outras lotações;Testar consulta da pasta digital do MP para cadastros ativos;;;;;;;
883;SAJMP;Pasta digital do MP;Pasta digital do MP para cadastros inativos em outras lotações;Testar consulta da pasta digital do MP para cadastros inativos;;;;;;;
